id,word_id,translation,part_of_speech,confidence
1,1,he,pronoun,high
2,1,it,pronoun,high
3,1,we,pronoun,high
4,2,we give thanks,phrase,high
5,3,note container,noun,high
6,4,Happy Easter,noun,high
7,4,Happy EasterPhrase,noun,high
8,5,we will,noun,high
9,6,macro-enabled,verb,high
10,7,we will,noun,high
11,8,bell,noun,high
12,8,chime,noun,high
13,8,chime GlosbeResearch,noun,high
14,8,clock,noun,high
15,8,eight o'clock,noun,medium
16,8,four o'clock,noun,medium
17,8,half past eleven,phrase,medium
18,8,half past three,phrase,medium
19,8,one o'clock,noun,medium
20,8,seven o'clock,noun,medium
21,8,ten o'clock,noun,medium
22,8,two o'clock,noun,medium
23,9,one o'clock,noun,high
24,9,half past one,phrase,medium
25,10,half past one,phrase,high
26,11,five o'clock,noun,high
27,11,half past five,phrase,medium
28,11,ten minutes to five o'clock,phrase,medium
29,12,ten minutes to five o'clock,phrase,high
30,13,half past five,phrase,high
31,14,seven o'clock,noun,high
32,14,half past seven,phrase,medium
33,15,half past seven,phrase,high
34,16,two o'clock,noun,high
35,16,half past two,phrase,medium
36,17,half past two,phrase,high
37,18,twelve o'clock,noun,high
38,18,half past twelve,phrase,medium
39,19,half past twelve,phrase,high
40,20,six o'clock,noun,high
41,20,half past six,phrase,medium
42,21,half past six,phrase,high
43,22,eight o'clock,noun,high
44,22,half past eight,phrase,medium
45,23,half past eight,phrase,high
46,24,four o'clock,noun,high
47,24,half past four,phrase,medium
48,25,half past four,phrase,high
49,26,nine o'clock,noun,high
50,26,half past nine,phrase,medium
51,27,half past nine,phrase,high
52,28,half past three,phrase,high
53,29,ten o'clock,noun,high
54,29,half past ten,phrase,medium
55,30,half past ten,phrase,high
56,31,eleven o'clock,noun,high
57,31,half past eleven,phrase,medium
58,32,half past eleven,phrase,high
59,33,system clock,noun,high
60,34,accra,noun,high
61,35,Accra,noun,high
62,36,President of Nigeria,phrase,high
63,36,President of NigeriaHeiNER-the-,phrase,high
64,37,morning,interjection,high
65,37,morning Ifedayo H Ayeni,interjection,high
66,38,Hut,noun,high
67,39,division,noun,high
68,39,division Ifedayo H Ayeni,noun,high
69,39,piece,noun,high
70,39,section,noun,high
71,39,boot partition,noun,medium
72,39,disk partition,noun,medium
73,39,section break,noun,medium
74,39,section mark,noun,medium
75,39,sheet of paper,phrase,medium
76,40,division,noun,high
77,40,division Ifedayo H Ayeni,noun,high
78,40,piece,noun,high
79,40,section,noun,high
80,40,boot partition,noun,medium
81,40,disk partition,noun,medium
82,40,section break,noun,medium
83,40,section mark,noun,medium
84,40,sheet of paper,phrase,medium
85,41,sheet of paper,noun,high
86,42,presentation section,noun,high
87,42,section layout,noun,high
88,43,disk partition,noun,high
89,44,boot partition,noun,high
90,45,etc,adverb,high
91,45,etc.Phrase,adverb,high
92,46,Abdulsalami AbubakarHeiNER - the,phrase,high
93,47,bae,noun,high
94,47,bae Girl friendyohmss,noun,high
95,49,ABC,noun,high
96,49,ABCnoun,noun,high
97,49,alphabet,verb,high
98,49,alphabet nounstandard set of letters,verb,high
99,49,alphabetnounplwiktionary.org,noun,high
100,50,ABC,noun,high
101,50,ABCnoun,noun,high
102,50,alphabet,noun,high
103,50,alphabet nounstandard set of letters,verb,high
104,50,alphabetnounplwiktionary.org,noun,high
105,52,mother,noun,high
106,53,female,noun,high
107,53,femaleadjectivenounhuman who,noun,high
108,53,feminine,adjective,high
109,53,woman,noun,high
110,53,woman GlTrav3,noun,high
111,53,sex,noun,medium
112,54,hen,noun,high
113,54,hen GlosbeResearch,noun,high
114,55,cowen,noun,high
115,56,cow,noun,high
116,57,goose,noun,high
117,58,duck,verb,high
118,58,duck GlosbeResearch,verb,high
119,59,duck,noun,high
120,60,lionessen,noun,high
121,61,pregnant,adjective,high
122,61,pregnant woman,adjective,high
123,62,abraham,noun,high
124,64,Federal Capital Territory,phrase,medium
125,65,hunchback,noun,high
126,66,curse,noun,high
127,66,cursenounsupernatural detrimenten.wiktionary2016,noun,high
128,67,barn,noun,high
129,67,farmhouse,noun,high
130,67,haystack,noun,medium
131,68,haystack,noun,high
132,68,haystack GlosbeResearch,noun,high
133,69,defect,noun,high
134,69,defect TraverseGPAware,noun,high
135,70,binary,noun,high
136,70,binary file,noun,medium
137,70,Boolean expression,noun,medium
138,70,coordinate pair,noun,medium
139,71,Boolean expression,noun,high
140,72,bird,noun,high
141,73,Abuja,noun,high
142,74,abuja,noun,high
143,75,hut,verb,high
144,75,hut interjectionborabi,verb,high
145,75,village,noun,high
146,76,scissors,noun,high
147,76,scissors Gbenro Adekunle David,noun,high
148,77,fan,verb,high
149,77,tennis racket,noun,medium
150,78,tennis racket,noun,high
151,79,under part,noun,high
152,79,under partborabi,noun,high
153,79,underneath,noun,high
154,79,underneathadpositionTraverseGPAware,noun,high
155,79,local area network,phrase,medium
156,79,needle,noun,medium
157,79,submenu,noun,medium
158,79,vaccine,noun,medium
159,80,candle,verb,high
160,81,needle,noun,high
161,81,needle TraverseGPAware,noun,high
162,81,vaccine,noun,medium
163,82,vaccine,noun,high
164,83,Abeokuta,noun,high
165,84,bowl,noun,high
166,84,bowl Fiabọ́sílẹ̀Put thebowldown,noun,high
167,84,primary table,adjective,medium
168,84,primary window,noun,medium
169,85,cutlass,verb,high
170,85,cutlass Ifedayo H Ayeni,verb,high
171,86,dove,noun,high
172,86,dove Glosbe Research,noun,high
173,86,doveen,noun,high
174,87,slash,noun,high
175,87,italic,adjective,medium
176,87,slash mark,noun,medium
177,88,leader,noun,high
178,88,check box,noun,medium
179,88,check mark,noun,medium
180,88,conductor,noun,medium
181,88,home automation controller,phrase,medium
182,88,Link Control Protocol,phrase,medium
183,88,list control,noun,medium
184,88,remote control software,phrase,medium
185,88,rich-text box,noun,medium
186,89,conductor,noun,high
187,90,driver,noun,high
188,91,disabled control,noun,high
189,92,spin box,noun,high
190,93,music director,noun,high
191,94,rich-text box,noun,high
192,95,domain controller,noun,high
193,96,list control,noun,high
194,97,home automation controller,phrase,high
195,98,Adebayo FaletiHeiNER - the,phrase,high
196,101,deaf en,noun,high
197,102,Ado Ekiti,noun,high
198,102,Ado EkitiHeiNER - the,phrase,high
199,103,face down,verb,high
200,104,small caps,noun,high
201,105,lake,noun,high
202,105,pool,noun,high
203,106,optical character recognition,noun,high
204,107,natural,adjective,high
205,107,natural TraverseGPAware,adjective,high
206,108,definitions,noun,high
207,109,waiter,noun,high
208,109,waiter TraverseGPAware,noun,high
209,109,waitress,noun,high
210,109,waitress TraverseGPAware,noun,high
211,110,chicken,noun,high
212,110,hen,noun,medium
213,111,chicken,noun,high
214,111,chickennounborabi,noun,high
215,112,piebald,adjective,high
216,112,piebald Stephen Ogunbiyi,adjective,high
217,113,baker,noun,high
218,113,baker TraverseGPAware,noun,high
219,114,baker,noun,high
220,114,baker TraverseGPAware,noun,high
221,115,web address,noun,high
222,116,slider,noun,high
223,116,standard deviation,noun,medium
224,117,Ado Ekiti,noun,high
225,118,insurance,noun,high
226,119,thank you,noun,high
227,119,thank you interjectionborabi,noun,high
228,120,waiter,noun,high
229,120,waiter TraverseGPAware,noun,high
230,120,waitress,noun,high
231,120,waitress TraverseGPAware,noun,high
232,121,leper,noun,high
233,122,Aero Wizard,noun,medium
234,123,Aero Wizard,noun,high
235,124,blind,adjective,high
236,124,blind GlosbeResearch,adjective,high
237,125,touch pointer,noun,high
238,126,dial-up,adjective,high
239,127,Albino,noun,high
240,128,Africa,noun,high
241,129,Task Launcher,noun,high
242,131,Africa,noun,high
243,131,Central Africa,noun,medium
244,131,South Africa,noun,medium
245,131,West Africa,noun,medium
246,132,ambient light sensor,phrase,high
247,133,location sensor,noun,high
248,133,Location and Other Sensors,phrase,medium
249,134,reptile,adjective,high
250,134,reptile nounclass of animals,adjective,high
251,135,reptile,noun,high
